File name	Line	Function	Duration[ms]	Explored nodes
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleAudio.cs	74	_DG.Tweening.DOTweenModuleAudio.DOComplete$UnityEngine.Audio.AudioMixer.bool$	0	2
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleAudio.cs	85	_DG.Tweening.DOTweenModuleAudio.DOKill$UnityEngine.Audio.AudioMixer.bool$	0	2
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleAudio.cs	95	_DG.Tweening.DOTweenModuleAudio.DOFlip$UnityEngine.Audio.AudioMixer$	0	2
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleAudio.cs	108	_DG.Tweening.DOTweenModuleAudio.DOGoto$UnityEngine.Audio.AudioMixer.float.bool$	0	2
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleAudio.cs	118	_DG.Tweening.DOTweenModuleAudio.DOPause$UnityEngine.Audio.AudioMixer$	0	2
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleAudio.cs	128	_DG.Tweening.DOTweenModuleAudio.DOPlay$UnityEngine.Audio.AudioMixer$	0	2
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleAudio.cs	138	_DG.Tweening.DOTweenModuleAudio.DOPlayBackwards$UnityEngine.Audio.AudioMixer$	0	2
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleAudio.cs	148	_DG.Tweening.DOTweenModuleAudio.DOPlayForward$UnityEngine.Audio.AudioMixer$	0	2
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleAudio.cs	158	_DG.Tweening.DOTweenModuleAudio.DORestart$UnityEngine.Audio.AudioMixer$	0	2
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleAudio.cs	168	_DG.Tweening.DOTweenModuleAudio.DORewind$UnityEngine.Audio.AudioMixer$	0	2
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleAudio.cs	178	_DG.Tweening.DOTweenModuleAudio.DOSmoothRewind$UnityEngine.Audio.AudioMixer$	0	2
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleAudio.cs	188	_DG.Tweening.DOTweenModuleAudio.DOTogglePause$UnityEngine.Audio.AudioMixer$	0	2
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUI.cs	620	_DG.Tweening.DOTweenModuleUI.Utils.SwitchToRectTransform$UnityEngine.RectTransform.UnityEngine.RectTransform$	0	2
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUnityVersion.cs	89	_DG.Tweening.DOTweenModuleUnityVersion.WaitForCompletion$DG.Tweening.Tween.bool$	0	7
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUnityVersion.cs	103	_DG.Tweening.DOTweenModuleUnityVersion.WaitForRewind$DG.Tweening.Tween.bool$	0	7
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUnityVersion.cs	117	_DG.Tweening.DOTweenModuleUnityVersion.WaitForKill$DG.Tweening.Tween.bool$	0	7
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\Plugins\Demigiant\DOTween\Modules\DOTweenModuleUnityVersion.cs	132	_DG.Tweening.DOTweenModuleUnityVersion.WaitForElapsedLoops$DG.Tweening.Tween.int.bool$	0	7
