File name	Line	Function	Duration[ms]	Explored nodes
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\Manomotion\ApplicationIntro\Scripts\ApplicationManager.cs	19	_ApplicationManager.Awake$$	0	8
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\Manomotion\ApplicationIntro\Scripts\ApplicationManager.cs	40	_ApplicationManager.Start$$	0	3
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\Manomotion\ApplicationIntro\Scripts\ApplicationManager.cs	48	_ApplicationManager.HandlePrivacyPolicyAccepted$$	0	3
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\Manomotion\ApplicationIntro\Scripts\ApplicationManager.cs	58	_ApplicationManager.ForceInstructions$$	0	3
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\Manomotion\ApplicationIntro\Scripts\ApplicationManager.cs	69	_ApplicationManager.HandleHowToInstructionsFinished$$	0	3
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\Manomotion\ApplicationIntro\Scripts\ApplicationManager.cs	77	_ApplicationManager.HandleHowToInstructionsSkipped$$	0	3
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\ManoMotion ARFoundation\Examples\Inetraction\Scripts\ARCubeInteraction.cs	18	_ARCubeInteraction.Start$$	0	3
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\ManoMotion ARFoundation\Examples\Inetraction\Scripts\ARCubeInteraction.cs	23	_ARCubeInteraction.Initialize$$	0	3
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\ManoMotion ARFoundation\Examples\Inetraction\Scripts\ARCubeInteraction.cs	37	_ARCubeInteraction.OnTriggerStay$UnityEngine.Collider$	0	3
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\ManoMotion ARFoundation\Examples\Inetraction\Scripts\ARCubeInteraction.cs	48	_ARCubeInteraction.MoveWhenGrab$UnityEngine.Collider$	0	6
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\ManoMotion ARFoundation\Examples\Inetraction\Scripts\ARCubeInteraction.cs	65	_ARCubeInteraction.RotateWhenHolding$UnityEngine.Collider$	0	5
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\ManoMotion ARFoundation\Examples\Inetraction\Scripts\ARCubeInteraction.cs	77	_ARCubeInteraction.SpawnWhenClicking$UnityEngine.Collider$	0	5
C:\Hochschule\Projektarbeit\Unity\GitHubArMidiController\ArMidiController\Assets\ManoMotion ARFoundation\Examples\Inetraction\Scripts\ARCubeInteraction.cs	89	_ARCubeInteraction.OnTriggerEnter$UnityEngine.Collider$	0	5
